number,Chinese entity name,entity binomial scientific name,Chinese condition,English condition,Chinese relation,English relation
20,枣桃六点天蛾,Marumba gaschkewitschii,多雨高湿,Rainy and humid,适宜发生条件,ConditionIs
21,柿炭疽病,Colletotrichum gloeosporioides,树冠郁闭,Closed canopy,适宜发生条件,ConditionIs
22,柿炭疽病,Colletotrichum gloeosporioides,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
23,柿灰霉病,Botrytis cinerea,通风条件差,Poor ventilation,适宜发生条件,ConditionIs
24,柿灰霉病,Botrytis cinerea,施氮肥多,Apply more nitrogen fertilizer,适宜发生条件,ConditionIs
25,柿圆斑病,Mycosphaerella nawae,土地瘠薄,Barren land,适宜发生条件,ConditionIs
26,柿圆斑病,Mycosphaerella nawae,肥料不足,Insufficient fertilizer,适宜发生条件,ConditionIs
27,石榴干腐病,Zythia versoniana,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
28,石榴干腐病,Zythia versoniana,土壤瘠薄,Poor soil,适宜发生条件,ConditionIs
29,石榴干腐病,Zythia versoniana,管理不良,Poor management,适宜发生条件,ConditionIs
30,石榴干腐病,Zythia versoniana,树势弱,Weak tree,适宜发生条件,ConditionIs
31,石榴干腐病,Zythia versoniana,降雨不均,Uneven rainfall,适宜发生条件,ConditionIs
32,石榴疮痂病,Sphaceloma punicae,多雨湿度大,Rainy and humid,适宜发生条件,ConditionIs
33,柑橘脂点黄斑病,Mycosphaerella citri,湿度大,High humidity,适宜发生条件,ConditionIs
34,柑橘炭疽病,Colletotrichum gloeosporioides,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
35,柑橘疫霉病,Phytophthora spp.,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
36,柑橘疫霉病,Phytophthora spp.,排水不良,Poor drainage,适宜发生条件,ConditionIs
37,柑橘疫霉病,Phytophthora spp.,树冠郁闭,Closed canopy,适宜发生条件,ConditionIs
38,柑橘疫霉病,Phytophthora spp.,通风透光差,Poor ventilation and light transmission,适宜发生条件,ConditionIs
39,柑橘疫霉病,Phytophthora spp.,土壤干湿,Soil dryness,适宜发生条件,ConditionIs
40,柑橘黄龙病,Candidatus Liberibacter asiaticus,施肥不足,Insufficient fertilization,适宜发生条件,ConditionIs
41,柑橘黄龙病,Candidatus Liberibacter asiaticus,排水不良,Poor drainage,适宜发生条件,ConditionIs
42,柑橘黄龙病,Candidatus Liberibacter asiaticus,树冠郁闭,Closed canopy,适宜发生条件,ConditionIs
43,柑橘赤衣病,Erythricium salmonicolor,潮湿,Wet,适宜发生条件,ConditionIs
44,柑橘黑腐病,Alternaria citri,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
45,柑橘青霉病,Penicillium italicum,温高湿度大,High temperature and humidity,适宜发生条件,ConditionIs
46,柑橘始叶螨,Eotetranychus kankitus,晴天多,Sunny days,适宜发生条件,ConditionIs
47,柑橘始叶螨,Eotetranychus kankitus,湿度低,Low humidity,适宜发生条件,ConditionIs
48,荔枝霜疫霉病,Peronophythora litchii,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
49,荔枝霜疫霉病,Peronophythora litchii,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
50,荔枝霜疫霉病,Peronophythora litchii,排水不良,Poor drainage,适宜发生条件,ConditionIs
51,荔枝霜疫霉病,Peronophythora litchii,荫蔽度大,Large shade,适宜发生条件,ConditionIs
52,荔枝藻斑病,Cephaleuros virescens,温暖潮湿,Warm and humid,适宜发生条件,ConditionIs
53,荔枝藻斑病,Cephaleuros virescens,通风不良,Poor ventilation,适宜发生条件,ConditionIs
54,荔枝叶斑病,Coniothyrium litchii,湿度高,High humidity,适宜发生条件,ConditionIs
55,荔枝叶斑病,Coniothyrium litchii,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
56,荔枝叶斑病,Coniothyrium litchii,排水不良,Poor drainage,适宜发生条件,ConditionIs
57,荔枝壳二孢叶斑病,Ascochyta litchii,荫蔽潮湿,Shaded and moist,适宜发生条件,ConditionIs
58,荔枝裂果,Litchi fruit cracking,湿度低,Low humidity,适宜发生条件,ConditionIs
59,龙眼灰斑病,Pestalotiopsis sp.,温暖潮湿,Warm and humid,适宜发生条件,ConditionIs
60,龙眼酸腐病,Geotrichum candidum,高温,high temperature,适宜发生条件,ConditionIs
61,龙眼酸腐病,Geotrichum candidum,高湿,High humidity,适宜发生条件,ConditionIs
62,芒果炭疽病,Colletotrichum gloeosporioides,空气湿度大,High humidity,适宜发生条件,ConditionIs
63,芒果细菌性黑斑病,Xanthomonas campestris pv. mangiferaeindicae,湿度大于90%,Humidity greater than 90%,适宜发生条件,ConditionIs
64,芒果白粉病,Oidium mangiferae,土壤比较潮湿,The soil is relatively moist,适宜发生条件,ConditionIs
65,枇杷灰斑病,Pestalotia funerea,排水不良,Poor drainage,适宜发生条件,ConditionIs
66,枇杷灰斑病,Pestalotia funerea,树冠郁密,Dense tree crown,适宜发生条件,ConditionIs
67,枇杷灰斑病,Pestalotia funerea,通风透光差,Poor ventilation and light transmission,适宜发生条件,ConditionIs
68,枇杷炭疽病,Colletotrichum gloeosporioides,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
69,枇杷胡麻色斑点病,Entomosporium eriobotryae,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
70,枇杷胡麻色斑点病,Entomosporium eriobotryae,排水不良,Poor drainage,适宜发生条件,ConditionIs
71,枇杷胡麻色斑点病,Entomosporium eriobotryae,土壤板结,Soil compaction,适宜发生条件,ConditionIs
72,枇杷胡麻色斑点病,Entomosporium eriobotryae,透气性差,Poor air permeability,适宜发生条件,ConditionIs
73,草莓疫霉果腐病,Phytophthora cactorum,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
74,草莓疫霉果腐病,Phytophthora cactorum,土壤粘重,Heavy soil,适宜发生条件,ConditionIs
75,香蕉巴拿马枯萎病,Fusarium oxysporum f. sp. cubense,高温,high temperature,适宜发生条件,ConditionIs
76,香蕉巴拿马枯萎病,Fusarium oxysporum f. sp. cubense,土壤湿,Soil wet,适宜发生条件,ConditionIs
77,香蕉灰纹病,Cercospora musae,偏施氮肥,Partial nitrogen fertilizer,适宜发生条件,ConditionIs
78,香蕉灰纹病,Cercospora musae,排水不良,Poor drainage,适宜发生条件,ConditionIs
79,香蕉煤纹病,Helminthosporium torulosum,偏施氮肥,Partial nitrogen fertilizer,适宜发生条件,ConditionIs
80,香蕉煤纹病,Helminthosporium torulosum,排水不良,Poor drainage,适宜发生条件,ConditionIs
81,香蕉黑星病,Macrophoma musae,多雨高湿,Rainy and humid,适宜发生条件,ConditionIs
82,香蕉黑星病,Macrophoma musae,重氮缺钾,Heavy nitrogen deficiency,适宜发生条件,ConditionIs
83,香蕉轴腐病,Banana spindle rot,温暖高湿,Warm and humid,适宜发生条件,ConditionIs
84,香蕉花叶心腐病,Cucumber mosaic virus,雨日少,Few rainy days,适宜发生条件,ConditionIs
85,香蕉花叶心腐病,Cucumber mosaic virus,日光充足,Plenty of daylight,适宜发生条件,ConditionIs
86,香蕉花叶心腐病,Cucumber mosaic virus,霜雪少,Frost and snow,适宜发生条件,ConditionIs
87,香蕉花叶心腐病,Cucumber mosaic virus,春雨偏迟,Spring rain is late,适宜发生条件,ConditionIs
88,香蕉束顶病,Banana bunchy top virus,晴天干燥,Sunny and dry,适宜发生条件,ConditionIs
89,樱桃褐腐病,Monilinia fructicola,透光通风差,Poor light transmission and ventilation,适宜发生条件,ConditionIs
90,樱桃灰霉病,Botrytis cinerea,通风不良,Poor ventilation,适宜发生条件,ConditionIs
91,樱桃灰霉病,Botrytis cinerea,光照不足,Insufficient light,适宜发生条件,ConditionIs
92,樱桃斑流胶病,Cherry gummy stem blight,施肥不当,Improper fertilization,适宜发生条件,ConditionIs
93,梅溃疡病,Plum canker,地势低洼积水,Low-lying waterlogging,适宜发生条件,ConditionIs
94,梅叶炭疽病,Colletotrichum spp.,多雨潮湿,Rainy and humid,适宜发生条件,ConditionIs
95,梅黑星病,Venturia nashicola,地势低湿,Low and wet terrain,适宜发生条件,ConditionIs
96,葡萄黑腐病,Guignardia bidwellii,高湿,High humidity,适宜发生条件,ConditionIs
97,葡萄黑腐病,Guignardia bidwellii,管理粗放,Extensive management,适宜发生条件,ConditionIs
98,葡萄黑腐病,Guignardia bidwellii,肥水不足,Insufficient fertilizer and water,适宜发生条件,ConditionIs
99,葡萄黑腐病,Guignardia bidwellii,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
100,葡萄黑腐病,Guignardia bidwellii,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
101,葡萄黑腐病,Guignardia bidwellii,通风排水不良,Poor ventilation and drainage,适宜发生条件,ConditionIs
102,葡萄白腐病,Coniothyrium diplodiella,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
103,葡萄白腐病,Coniothyrium diplodiella,管理粗放,Extensive management,适宜发生条件,ConditionIs
104,葡萄白腐病,Coniothyrium diplodiella,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
105,葡萄白腐病,Coniothyrium diplodiella,土质黏重,Heavy soil,适宜发生条件,ConditionIs
106,葡萄白腐病,Coniothyrium diplodiella,排水不良,Poor drainage,适宜发生条件,ConditionIs
107,葡萄白腐病,Coniothyrium diplodiella,土壤瘠薄,Poor soil,适宜发生条件,ConditionIs
108,葡萄白腐病,Coniothyrium diplodiella,杂草丛生,Overgrown,适宜发生条件,ConditionIs
109,葡萄穗轴褐枯病,Botryosphaeria dothidea,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
110,葡萄穗轴褐枯病,Botryosphaeria dothidea,偏施氮肥,Partial nitrogen fertilizer,适宜发生条件,ConditionIs
111,葡萄穗轴褐枯病,Botryosphaeria dothidea,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
112,葡萄穗轴褐枯病,Botryosphaeria dothidea,管理不善,Poor management,适宜发生条件,ConditionIs
113,葡萄炭疽病,Colletotrichum gloeosporioides,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
114,葡萄炭疽病,Colletotrichum gloeosporioides,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
115,葡萄炭疽病,Colletotrichum gloeosporioides,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
116,葡萄炭疽病,Colletotrichum gloeosporioides,空气不流通,Poor air circulation,适宜发生条件,ConditionIs
117,葡萄大房枯病,Macrophoma kawatsukai,高温潮湿多雨,"Hot, humid and rainy",适宜发生条件,ConditionIs
118,葡萄黑痘病,Elsino? ampelina,高湿,High humidity,适宜发生条件,ConditionIs
119,葡萄黑痘病,Elsino? ampelina,多雨,Rainy,适宜发生条件,ConditionIs
120,葡萄黑痘病,Elsino? ampelina,果园低洼,Orchard Lowlands,适宜发生条件,ConditionIs
121,葡萄黑痘病,Elsino? ampelina,排水不良,Poor drainage,适宜发生条件,ConditionIs
122,葡萄黑痘病,Elsino? ampelina,管理粗放,Extensive management,适宜发生条件,ConditionIs
123,葡萄黑痘病,Elsino? ampelina,枝叶郁闭,Closed branches and leaves,适宜发生条件,ConditionIs
124,葡萄黑痘病,Elsino? ampelina,通风透光差,Poor ventilation and light transmission,适宜发生条件,ConditionIs
125,葡萄霜霉病,Plasmopara viticola,冷凉,Cool,适宜发生条件,ConditionIs
126,葡萄霜霉病,Plasmopara viticola,多雨,Rainy,适宜发生条件,ConditionIs
127,葡萄霜霉病,Plasmopara viticola,秋季冷凉,Cool autumn,适宜发生条件,ConditionIs
128,葡萄霜霉病,Plasmopara viticola,潮湿,Wet,适宜发生条件,ConditionIs
129,葡萄霜霉病,Plasmopara viticola,降雨多,Heavy rainfall,适宜发生条件,ConditionIs
130,葡萄霜霉病,Plasmopara viticola,雾重,Heavy fog,适宜发生条件,ConditionIs
131,葡萄霜霉病,Plasmopara viticola,田间郁闭,Field closure,适宜发生条件,ConditionIs
132,葡萄灰霉病,Botrytis cinerea,空气潮湿,Humid air,适宜发生条件,ConditionIs
133,葡萄白粉病,Uncinula necator,施氮肥过多,Excessive nitrogen fertilizer application,适宜发生条件,ConditionIs
134,葡萄白粉病,Uncinula necator,果园郁闭,Orchard Closure,适宜发生条件,ConditionIs
135,葡萄白粉病,Uncinula necator,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
136,葡萄根癌病,Agrobacterium tumefaciens,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
137,葡萄根癌病,Agrobacterium tumefaciens,排水不良,Poor drainage,适宜发生条件,ConditionIs
138,葡萄根癌病,Agrobacterium tumefaciens,土质疏松,Loose soil,适宜发生条件,ConditionIs
139,葡萄根癌病,Agrobacterium tumefaciens,排水良好,Good drainage,适宜发生条件,ConditionIs
140,葡萄缺铁病,Iron deficiency in grapevine,管理粗放,Extensive management,适宜发生条件,ConditionIs
141,猕猴桃褐色麻斑病,Kiwi brown speckle disease,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
142,核桃树腐烂病,Cytospora juglandis,光照不良,Poor lighting,适宜发生条件,ConditionIs
143,核桃树腐烂病,Cytospora juglandis,土层瘠薄,Thin soil,适宜发生条件,ConditionIs
144,核桃树腐烂病,Cytospora juglandis,土壤粘重,Heavy soil,适宜发生条件,ConditionIs
145,核桃树腐烂病,Cytospora juglandis,地下水位高,High groundwater level,适宜发生条件,ConditionIs
146,核桃树腐烂病,Cytospora juglandis,排水不良,Poor drainage,适宜发生条件,ConditionIs
147,核桃树腐烂病,Cytospora juglandis,肥料不足,Insufficient fertilizer,适宜发生条件,ConditionIs
148,核桃黑斑病,Xanthomonas arboricola pv. juglandis,通风不良,Poor ventilation,适宜发生条件,ConditionIs
149,核桃炭疽病,Colletotrichum gloeosporioides,通风透光,Ventilation and light transmission,适宜发生条件,ConditionIs
150,核桃褐斑病,Marssonina juglandis,雨水多,Heavy rain,适宜发生条件,ConditionIs
151,核桃褐斑病,Marssonina juglandis,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
152,枣锈病,Phakopsora ziziphi - vulgaris,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
153,枣锈病,Phakopsora ziziphi - vulgaris,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
154,枣锈病,Phakopsora ziziphi - vulgaris,行间郁闭,Line closure,适宜发生条件,ConditionIs
155,枣焦叶病,Jujube leaf scorch disease,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
156,枣炭疽病,Colletotrichum gloeosporioides,管理粗放,Extensive management,适宜发生条件,ConditionIs
157,枣树枝枯病,Jujube branch blight,土壤瘠薄,Poor soil,适宜发生条件,ConditionIs
158,枣树枝枯病,Jujube branch blight,果园积水,Waterlogging in orchards,适宜发生条件,ConditionIs
159,枣树枝枯病,Jujube branch blight,管理粗放,Extensive management,适宜发生条件,ConditionIs
160,枣苗茎腐病,Jujube seedling stem rot,高温,high temperature,适宜发生条件,ConditionIs
161,枣苗茎腐病,Jujube seedling stem rot,高湿,High humidity,适宜发生条件,ConditionIs
162,枣树根朽病,Armillaria mellea,下雨积水多,Lots of water when it rains,适宜发生条件,ConditionIs
163,枣树根朽病,Armillaria mellea,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
164,枣树腐烂病,Jujube tree canker,管理粗放,Extensive management,适宜发生条件,ConditionIs
165,枣缩果病,Jujube fruit shrink disease,高温,high temperature,适宜发生条件,ConditionIs
166,枣缩果病,Jujube fruit shrink disease,高湿,High humidity,适宜发生条件,ConditionIs
167,枣树根癌病,Agrobacterium tumefaciens,土壤潮湿温暖,The soil is moist and warm,适宜发生条件,ConditionIs
168,枣白腐病,Jujube white rot,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
169,枣裂果病,Jujube fruit cracking,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
170,枣疯病,Jujube witches' - broom,土壤干旱瘠薄,Dry and barren soil,适宜发生条件,ConditionIs
171,枣疯病,Jujube witches' - broom,肥水条件差,Poor fertilizer and water conditions,适宜发生条件,ConditionIs
172,枣疯病,Jujube witches' - broom,管理粗放,Extensive management,适宜发生条件,ConditionIs
173,山楂白粉病,Podosphaera oxyacanthae,夏季有雨凉爽,Summer is cool with rain,适宜发生条件,ConditionIs
174,山楂立枯病,Rhizoctonia solani,潮湿低温,Humidity and low temperature,适宜发生条件,ConditionIs
175,桃褐斑穿孔病,Cercospora circumscissa,低温多雨,Low temperature and heavy rain,适宜发生条件,ConditionIs
176,桃褐斑穿孔病,Cercospora circumscissa,低温多湿,Low temperature and high humidity,适宜发生条件,ConditionIs
177,桃缩叶病,Taphrina deformans,低温多湿,Low temperature and high humidity,适宜发生条件,ConditionIs
178,桃霉斑穿孔病,Cladosporium carpophilum,低温多雨,Low temperature and heavy rain,适宜发生条件,ConditionIs
179,桃黑星病,Venturia carpophila,通风透光,Ventilation and light transmission,适宜发生条件,ConditionIs
180,桃炭疽病,Colletotrichum gloeosporioides,多云,partly cloudy,适宜发生条件,ConditionIs
181,桃炭疽病,Colletotrichum gloeosporioides,多雾,Foggy,适宜发生条件,ConditionIs
182,桃炭疽病,Colletotrichum gloeosporioides,高湿,High humidity,适宜发生条件,ConditionIs
183,桃细菌性穿孔病,Xanthomonas arboricola pv. pruni,雨水频,Frequent rain,适宜发生条件,ConditionIs
184,桃细菌性穿孔病,Xanthomonas arboricola pv. pruni,果园郁闭,Orchard Closure,适宜发生条件,ConditionIs
185,桃细菌性穿孔病,Xanthomonas arboricola pv. pruni,排水不良,Poor drainage,适宜发生条件,ConditionIs
186,桃细菌性穿孔病,Xanthomonas arboricola pv. pruni,土壤瘠薄板结,Thin and hard soil,适宜发生条件,ConditionIs
187,桃细菌性穿孔病,Xanthomonas arboricola pv. pruni,缺肥,Lack of fertilizer,适宜发生条件,ConditionIs
188,桃树非侵染性流胶病,Non - infectious gummosis of peach tree,土壤偏碱,Soil is alkaline,适宜发生条件,ConditionIs
189,桃树非侵染性流胶病,Non - infectious gummosis of peach tree,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
190,桃树侵染性流胶病,Infectious gummosis of peach tree,土质瘠薄,Poor soil,适宜发生条件,ConditionIs
191,桃树侵染性流胶病,Infectious gummosis of peach tree,肥水不足,Insufficient fertilizer and water,适宜发生条件,ConditionIs
192,桃树根朽病,Armillaria mellea,土壤透气性,Soil permeability,适宜发生条件,ConditionIs
193,桃褐腐病,Monilinia fructicola,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
194,桃褐腐病,Monilinia fructicola,通风透光较差,Poor ventilation and light transmission,适宜发生条件,ConditionIs
195,桃白锈病,Albugo japonica,多雨潮湿,Rainy and humid,适宜发生条件,ConditionIs
196,桃白锈病,Albugo japonica,排水不良,Poor drainage,适宜发生条件,ConditionIs
197,桃灰霉病,Botrytis cinerea,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
198,桃灰霉病,Botrytis cinerea,枝梢徒长郁闭,Branches grow too long and become dense,适宜发生条件,ConditionIs
199,桃灰霉病,Botrytis cinerea,杂草丛生,Overgrown,适宜发生条件,ConditionIs
200,桃灰霉病,Botrytis cinerea,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
201,桃白纹羽病,Rosellinia necatrix,土质黏重,Heavy soil,适宜发生条件,ConditionIs
202,桃白纹羽病,Rosellinia necatrix,排水不良,Poor drainage,适宜发生条件,ConditionIs
203,桃树白绢病,Sclerotium rolfsii,土质黏重,Heavy soil,适宜发生条件,ConditionIs
204,桃树白绢病,Sclerotium rolfsii,排水不良,Poor drainage,适宜发生条件,ConditionIs
205,桃树白绢病,Sclerotium rolfsii,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
206,桃园根结线虫病,Meloidogyne spp.,地势高而干燥,High and dry terrain,适宜发生条件,ConditionIs
207,桃园根结线虫病,Meloidogyne spp.,结构疏松,Loose structure,适宜发生条件,ConditionIs
208,桃园根结线虫病,Meloidogyne spp.,含盐量低,Low salt content,适宜发生条件,ConditionIs
209,桃树缺氮症,Peach nitrogen deficiency,杂草多,Lots of weeds,适宜发生条件,ConditionIs
210,桃树缺氮症,Peach nitrogen deficiency,氮肥施用不足,Insufficient nitrogen fertilizer application,适宜发生条件,ConditionIs
211,桃树缺磷症,Peach phosphorus deficiency,土壤水分少,Low soil moisture,适宜发生条件,ConditionIs
212,桃树缺钾症,Peach potassium deficiency,地温偏低,Low ground temperature,适宜发生条件,ConditionIs
213,桃树缺钾症,Peach potassium deficiency,土壤酸性,Soil acidity,适宜发生条件,ConditionIs
214,桃树缺钾症,Peach potassium deficiency,土壤过湿,Soil too wet,适宜发生条件,ConditionIs
215,桃树缺锌症,Peach zinc deficiency,土壤pH值偏高或偏低,Soil pH is high or low,适宜发生条件,ConditionIs
216,桃树缺钙症,Peach calcium deficiency,土壤pH值偏高或偏低,Soil pH is high or low,适宜发生条件,ConditionIs
217,桃树缺锰症,Peach manganese deficiency,土壤呈碱性,The soil is alkaline,适宜发生条件,ConditionIs
218,桃树缺硼症,Peach boron deficiency,土壤瘠薄,Poor soil,适宜发生条件,ConditionIs
219,李红点病,Polystigma rubrum,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
220,李红点病,Polystigma rubrum,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
221,李红点病,Polystigma rubrum,管理粗放,Extensive management,适宜发生条件,ConditionIs
222,李细菌性穿孔病,Xanthomonas arboricola pv. pruni,管理粗放,Extensive management,适宜发生条件,ConditionIs
223,李树流胶病,Plum gummosis,施肥不当,Improper fertilization,适宜发生条件,ConditionIs
224,杏树腐烂病,Valsa mali,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
225,杏树腐烂病,Valsa mali,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
226,杏树腐烂病,Valsa mali,施肥不,Fertilization is not,适宜发生条件,ConditionIs
227,杏树腐烂病,Valsa mali,磷钾肥不足,Insufficient phosphorus and potassium fertilizers,适宜发生条件,ConditionIs
228,杏树腐烂病,Valsa mali,氮肥过多,Too much nitrogen fertilizer,适宜发生条件,ConditionIs
229,杏树腐烂病,Valsa mali,树体郁闭,Tree closure,适宜发生条件,ConditionIs
230,杏褐腐病,Monilinia laxa,多雨高湿,Rainy and humid,适宜发生条件,ConditionIs
231,杏树流胶病,Apricot gummosis,施肥不当,Improper fertilization,适宜发生条件,ConditionIs
232,杏树流胶病,Apricot gummosis,土质黏重,Heavy soil,适宜发生条件,ConditionIs
233,杏树流胶病,Apricot gummosis,土壤酸性过强,Soil is too acidic,适宜发生条件,ConditionIs
234,杏细菌性穿孔病,Xanthomonas arboricola pv. pruni,相对湿度70％,Relative humidity 70%,适宜发生条件,ConditionIs
235,杏细菌性穿孔病,Xanthomonas arboricola pv. pruni,湿度小,Low humidity,适宜发生条件,ConditionIs
236,杏细菌性穿孔病,Xanthomonas arboricola pv. pruni,雨水频,Frequent rain,适宜发生条件,ConditionIs
237,杏细菌性穿孔病,Xanthomonas arboricola pv. pruni,排水不良,Poor drainage,适宜发生条件,ConditionIs
238,杏细菌性穿孔病,Xanthomonas arboricola pv. pruni,通风透光差,Poor ventilation and light transmission,适宜发生条件,ConditionIs
239,杏细菌性穿孔病,Xanthomonas arboricola pv. pruni,偏施氮肥,Partial nitrogen fertilizer,适宜发生条件,ConditionIs
240,苹果轮纹病,Botryosphaeria berengeriana f. sp. piricola,管理粗放,Extensive management,适宜发生条件,ConditionIs
241,苹果轮纹病,Botryosphaeria berengeriana f. sp. piricola,树势衰弱,Tree weakness,适宜发生条件,ConditionIs
242,苹果轮纹病,Botryosphaeria berengeriana f. sp. piricola,黏重壤土,Heavy clay loam,适宜发生条件,ConditionIs
243,苹果轮纹病,Botryosphaeria berengeriana f. sp. piricola,偏酸,Acidic,适宜发生条件,ConditionIs
244,苹果灰斑病,Cercospora mali,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
245,苹果灰斑病,Cercospora mali,降雨多,Heavy rainfall,适宜发生条件,ConditionIs
246,苹果白星病,Phyllosticta mali,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
247,苹果白星病,Phyllosticta mali,土质黏重,Heavy soil,适宜发生条件,ConditionIs
248,苹果白星病,Phyllosticta mali,排水不良,Poor drainage,适宜发生条件,ConditionIs
249,苹果轮斑病,Alternaria alternata f. sp. mali,管理粗放,Extensive management,适宜发生条件,ConditionIs
250,苹果树枝溃疡病,Nectria galligena,潮湿,Wet,适宜发生条件,ConditionIs
251,苹果树枝溃疡病,Nectria galligena,湿度大,High humidity,适宜发生条件,ConditionIs
252,苹果树枝溃疡病,Nectria galligena,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
253,苹果树枝溃疡病,Nectria galligena,土壤较黏重,Heavy clay soil,适宜发生条件,ConditionIs
254,苹果霉心病,Alternaria alternata,矿质营养不,Mineral nutrition is not,适宜发生条件,ConditionIs
255,苹果霉心病,Alternaria alternata,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
256,苹果霉心病,Alternaria alternata,树冠郁闭,Closed canopy,适宜发生条件,ConditionIs
257,苹果霉心病,Alternaria alternata,树势衰弱,Tree weakness,适宜发生条件,ConditionIs
258,苹果花腐病,Monilinia mali,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
259,苹果花腐病,Monilinia mali,排水不良,Poor drainage,适宜发生条件,ConditionIs
260,苹果炭疽病,Colletotrichum gloeosporioides,高温,high temperature,适宜发生条件,ConditionIs
261,苹果炭疽病,Colletotrichum gloeosporioides,高湿,High humidity,适宜发生条件,ConditionIs
